Estacion_Id,Pfb_Fecha,Lod_Latitud_F5,Lod_Longitud_F5,Lod_Cota,Conductividad,18O,2H,d-excess
G3124,30-nov-14,5888906.323,5776839.389,14.74753288,1602,-4.60,-25.00,11.80
G3125,30-mar-12,5892175.778,5780396.76,13,409,-6.50,-39.00,13.00
G3125,30-nov-14,5892175.778,5780396.76,13,483,-4.60,-24.00,12.80
G3127,30-mar-12,5892176.842,5780394.79,13,538,-5.80,-33.00,13.40
G3127,30-nov-14,5892176.842,5780394.79,13,539,-5.00,-27.00,13.00
G3128,30-mar-12,5890700.29,5781357.603,6.218895676,751,-4.80,-27.00,11.40
G3128,30-nov-14,5890700.29,5781357.603,6.218895676,709,-4.70,-25.00,12.60
G3129,30-mar-12,5889680.99,5776916.961,12.85443074,1293,-5.10,-28.00,12.80
G3129,30-nov-14,5889680.99,5776916.961,12.85443074,1404,-4.60,-25.00,11.80
G3130,30-nov-14,5896536.632,5783236.485,13.64761261,581,-5.30,-26.00,16.40
G3130,30-mar-12,5896536.632,5783236.485,13.64761261,487,-5.10,-28.00,12.80
G3131,30-mar-12,5888020.03,5777789.773,16,407,-5.30,-29.00,13.40
G3131,30-nov-14,5888020.03,5777789.773,16,516,-5.30,-28.00,14.40
G3132,30-mar-12,5887478.001,5779095.548,9.495173049,587,-5.10,-28.00,12.80
G3133,30-mar-12,5886129.175,5775831.219,14.26988069,316,-4.90,-28.00,11.20
G3133,30-nov-14,5886129.175,5775831.219,14.26988069,345,-4.80,-26.00,12.40
G3134,30-mar-12,5896544.911,5781705.486,8.394547982,335,-5.00,-26.00,14.00
G3134,30-nov-14,5896544.911,5781705.486,8.394547982,354,-4.80,-25.00,13.40
G3135,30-mar-12,5883588.252,5776535.929,7.325154492,787,-4.50,-25.00,11.00
G3135,30-nov-14,5883588.252,5776535.929,7.325154492,1071,-4.10,-22.00,10.80
G3136,30-nov-14,5882239.35,5774384.198,18.57424169,906,-5.10,-27.00,13.80
G3136,30-mar-12,5882239.35,5774384.198,18.57424169,720,-5.00,-27.00,13.00
G3137,30-mar-12,5881708.224,5775470.956,4.378303756,1458,-4.90,-27.00,12.20
G3137,30-nov-14,5881708.224,5775470.956,4.378303756,1482,-4.60,-24.00,12.80
G3138,30-mar-12,5881954.884,5771761.485,11,648,-5.10,-28.00,12.80
G3138,30-nov-14,5881954.884,5771761.485,11,700,-5.10,-28.00,12.80
